Holding Time (min),Thermal Expansion (1/K)
3.5127789541259347,5.46708857150787,0.4% Calcium carbonate/Poly(4-vinyl pyridine)
3.588419324279022,5.539922357639418,0.4% Calcium carbonate/Poly(4-vinyl pyridine)
5.992052229746414,5.343665543231276,0.4% Calcium carbonate/Poly(4-vinyl pyridine)
7.966670135020982,5.238341168661483,0.4% Calcium carbonate/Poly(4-vinyl pyridine)
3.5127789541259347,-2.545814561950324,0.23% Calcium carbonate/Poly(4-vinyl pyridine)
3.588419324279022,-2.5579090419867274,0.23% Calcium carbonate/Poly(4-vinyl pyridine)
5.992052229746414,-2.7082104124467357,0.23% Calcium carbonate/Poly(4-vinyl pyridine)
7.966670135020982,-2.7864393185566327,0.23% Calcium carbonate/Poly(4-vinyl pyridine)
3.5127789541259347,-6.631934124664494,0.21% Calcium carbonate/Poly(4-vinyl pyridine)
3.588419324279022,-6.663704372079432,0.21% Calcium carbonate/Poly(4-vinyl pyridine)
5.992052229746414,-6.848710162957511,0.21% Calcium carbonate/Poly(4-vinyl pyridine)
7.966670135020982,-6.919234563240332,0.21% Calcium carbonate/Poly(4-vinyl pyridine)
