Aspect Ratio,Galvanic Potential (V)
3,-5.256995049007283,Cyclic olefin copolymer
7,-4.82133524594043,Cyclic olefin copolymer
14,-6.879614220180528,Cyclic olefin copolymer
19,-7.242560387477293,Cyclic olefin copolymer
3,4.297184827040975,PA 12
7,4.095550226872413,PA 12
14,3.99565506267961,PA 12
19,3.982416829682569,PA 12
3,-1.2081304578193586,Poly(2-hydroxyethyl acrylate)
7,-1.424571677299553,Poly(2-hydroxyethyl acrylate)
14,-1.6530948798767078,Poly(2-hydroxyethyl acrylate)
19,-1.7453317384695093,Poly(2-hydroxyethyl acrylate)
3,-2.457167304530164,Poly(4-vinyl pyridine)
7,-2.7584196227989963,Poly(4-vinyl pyridine)
14,-2.877335660636561,Poly(4-vinyl pyridine)
19,-2.8903390927953243,Poly(4-vinyl pyridine)
