Degradation Temperature (°C),Magnetization (A/m)
4,2.7949680152604133,Cu(HO3PC6H5)2/Poly(acrylonitrile)
6,3.0990715665718107,Cu(HO3PC6H5)2/Poly(acrylonitrile)
9,3.155082325243602,Cu(HO3PC6H5)2/Poly(acrylonitrile)
13,2.5056520754551803,Cu(HO3PC6H5)2/Poly(acrylonitrile)
19,-5.369686181883958,Cu(HO3PC6H5)2/Poly(acrylonitrile)
4,3.0982664917857776,MoS2/Poly(acrylonitrile)
6,3.0256921142486783,MoS2/Poly(acrylonitrile)
9,2.9208944183419407,MoS2/Poly(acrylonitrile)
13,2.866375557256087,MoS2/Poly(acrylonitrile)
19,2.8491174600249214,MoS2/Poly(acrylonitrile)
4,6.336381706165777,Zirconium dioxide/Poly(acrylonitrile)
6,6.820093774925142,Zirconium dioxide/Poly(acrylonitrile)
9,9.568665419847639,Zirconium dioxide/Poly(acrylonitrile)
13,6.907892081935941,Zirconium dioxide/Poly(acrylonitrile)
19,5.897589293461147,Zirconium dioxide/Poly(acrylonitrile)
4,4.149952378878256,Graphene oxide/Poly(acrylonitrile)
6,7.359364831240893,Graphene oxide/Poly(acrylonitrile)
9,30.755888438579262,Graphene oxide/Poly(acrylonitrile)
13,64.10811552783171,Graphene oxide/Poly(acrylonitrile)
19,781.8102869205371,Graphene oxide/Poly(acrylonitrile)
