Magnetic Field Strength (T),Peel Strength (N/m)
1,1.1313845203635016,Silver/S-SEBS
2,1.4836588466537575,Silver/S-SEBS
5,4.545329519959427,Silver/S-SEBS
6,4.418326249268146,Silver/S-SEBS
11,16.721656954086328,Silver/S-SEBS
12,48.81701138580002,Silver/S-SEBS
1,4.431855554550714,Copper(II) phenyl phosphate/S-SEBS
2,4.463471477512029,Copper(II) phenyl phosphate/S-SEBS
5,5.375251472276433,Copper(II) phenyl phosphate/S-SEBS
6,4.968531094954587,Copper(II) phenyl phosphate/S-SEBS
11,6.815006276341904,Copper(II) phenyl phosphate/S-SEBS
12,4.950506228408781,Copper(II) phenyl phosphate/S-SEBS
