Aging Time (h),Adhesion Strength (MPa)
0.9390678402232977,3.305918773122699,0.96% silver hexafluoroantimonate
1.4785353740731466,3.678081513967812,0.96% silver hexafluoroantimonate
11.563382755107362,3.957614365958511,0.96% silver hexafluoroantimonate
13.19296160674589,0.8505904751118356,0.96% silver hexafluoroantimonate
19.261615529106543,19.72162725208478,0.96% silver hexafluoroantimonate
1.717053049082966,-4.5822852274695,0.96% silver hexafluoroantimonate
2.291230451344528,-4.379695016730048,0.96% silver hexafluoroantimonate
3.5672157736197208,-4.486532234236094,0.96% silver hexafluoroantimonate
8.47960754298892,-2.5880743416198246,0.96% silver hexafluoroantimonate
19.969191228418282,-24.64283956910588,0.96% silver hexafluoroantimonate
2,-0.9612586290779045,0.78% silver hexafluoroantimonate
6,-1.3767908152583193,0.78% silver hexafluoroantimonate
10,-1.4692088624421105,0.78% silver hexafluoroantimonate
14,-1.5059264396549727,0.78% silver hexafluoroantimonate
17,-1.5138421465704397,0.78% silver hexafluoroantimonate
3.416216289145264,-4.700903716937718,0.57% silver hexafluoroantimonate
4.933372469609609,-4.782673248786051,0.57% silver hexafluoroantimonate
6.139024359284802,-4.861773539273443,0.57% silver hexafluoroantimonate
6.231199332314226,-4.870158509953477,0.57% silver hexafluoroantimonate
16.018053382836392,-5.013637322915867,0.57% silver hexafluoroantimonate
