Mixing Time (min),Heat Of Crystallization (J/g)
0.010575694476455677,-1.1355132545504851,0.87% Graphene oxide
10.32340233226876,2.2874745391634583,0.87% Graphene oxide
12.859200578720756,6.617998450701727,0.87% Graphene oxide
12.981197373074252,-1.3357909808808897,0.87% Graphene oxide
0.010575694476455677,-4.421851250488701,0.63% Graphene oxide
10.32340233226876,-5.282811491043049,0.63% Graphene oxide
12.859200578720756,-5.301653670004919,0.63% Graphene oxide
12.981197373074252,-5.30219596456034,0.63% Graphene oxide
0.010575694476455677,-3.1461578724206847,0.02% Graphene oxide
10.32340233226876,-4.3818398213650465,0.02% Graphene oxide
12.859200578720756,-4.404250940300547,0.02% Graphene oxide
12.981197373074252,-4.405506241724663,0.02% Graphene oxide
