Incubation Temperature (°C),Crystallization Temperature (°C)
7.36002783306501,11.36805946454147,0.36% C60
7.963993310163251,9.602570680867366,0.36% C60
17.326508076334953,17.625639424057844,0.36% C60
7.36002783306501,6.761711885605728,0.61% C60
7.963993310163251,6.744586759659381,0.61% C60
17.326508076334953,6.657290799106153,0.61% C60
7.36002783306501,13.585988057227507,0.2% C60
7.963993310163251,3.011184948625849,0.2% C60
17.326508076334953,-254.4135693967662,0.2% C60
7.36002783306501,9.09080452895435,0.91% C60
7.963993310163251,17.80713750773375,0.91% C60
17.326508076334953,458.58027995789627,0.91% C60
