Incubation Time (h),Corrosion Rate (mm/year)
1.447359498583547,4.43682882326736,Polyphenylsulfone
7.138298713974995,6.30358790576549,Polyphenylsulfone
13.113130616314672,67.23596515377261,Polyphenylsulfone
15.591314470519679,25.771908987459724,Polyphenylsulfone
0,5.489938909454641,PP
10,5.08860593382702,PP
16,4.884051908805997,PP
19,4.832526923677072,PP
5,1.949144199035893,Cyclic olefin copolymer
16,1.4466299266369926,Cyclic olefin copolymer
17,1.424267686458962,Cyclic olefin copolymer
19,1.3800180369210573,Cyclic olefin copolymer
