Reaction Temperature (°C),Adhesion Strength (MPa)
0.1250052201979912,0.5964700453717591,0.77% Bentonite/Nylon 11
0.6693001812581456,0.5302015731540899,0.77% Bentonite/Nylon 11
3.330049270189057,0.16999192855913547,0.77% Bentonite/Nylon 11
13.873707270868696,-0.266476903638929,0.77% Bentonite/Nylon 11
17.29748019397882,-0.34960358875623126,0.77% Bentonite/Nylon 11
0.1250052201979912,-4.233543642575635,0.05% Bentonite/Nylon 11
0.6693001812581456,-4.030101224882223,0.05% Bentonite/Nylon 11
3.330049270189057,-4.535440327722747,0.05% Bentonite/Nylon 11
13.873707270868696,-4.903334176086019,0.05% Bentonite/Nylon 11
17.29748019397882,-4.913965035378809,0.05% Bentonite/Nylon 11
