Film Thickness (µm),Dynamic Viscosity (Pa·s)
2,0.12879742407868755,0.78% cellulose nanocrystal/PMS
11,-0.30202317445865123,0.78% cellulose nanocrystal/PMS
13,-0.32108406040029885,0.78% cellulose nanocrystal/PMS
15,-0.33077695078634567,0.78% cellulose nanocrystal/PMS
16,-0.33253285926958137,0.78% cellulose nanocrystal/PMS
2,1.6664894324534445,0.91% cellulose nanocrystal/PMS
11,29.473203673403603,0.91% cellulose nanocrystal/PMS
13,57.803649156225916,0.91% cellulose nanocrystal/PMS
15,114.51638793624379,0.91% cellulose nanocrystal/PMS
16,73.62466046680213,0.91% cellulose nanocrystal/PMS
2,1.2665346502263446,0.02% cellulose nanocrystal/PMS
11,0.870209986242321,0.02% cellulose nanocrystal/PMS
13,0.7872223777386871,0.02% cellulose nanocrystal/PMS
15,0.7390358738758706,0.02% cellulose nanocrystal/PMS
16,0.7186678727432456,0.02% cellulose nanocrystal/PMS
