Film Thickness (µm),Thermal Expansion (1/K)
1,2.6358085327966383,PAA
7,1.9223320861898248,PAA
9,1.8497923837492987,PAA
12,1.8121123573768907,PAA
15,1.794633872006392,PAA
19,1.7864729202947272,PAA
1,-5.1158561423912445,Poly(glycidyl methacrylate)
7,-5.676144233801368,Poly(glycidyl methacrylate)
9,-5.811047936664623,Poly(glycidyl methacrylate)
12,-5.903303310467379,Poly(glycidyl methacrylate)
15,-6.021438945653756,Poly(glycidyl methacrylate)
19,-6.0743540482020615,Poly(glycidyl methacrylate)
1,-5.623429439040951,P(VDF-TrFE-CTFE)
7,-4.692234403654723,P(VDF-TrFE-CTFE)
9,-2.725614202405198,P(VDF-TrFE-CTFE)
12,-1.1009491136225282,P(VDF-TrFE-CTFE)
15,-0.7649116776646947,P(VDF-TrFE-CTFE)
19,-7.958614258314753,P(VDF-TrFE-CTFE)
1,1.038921696246628,S-SBR
7,8.641164927560512,S-SBR
9,16.786087537247003,S-SBR
12,43.02881675750454,S-SBR
15,-85.93034380717422,S-SBR
19,88.936254193295,S-SBR
