Crystallization Temperature (°C),Compression Strength (MPa)
0.13658159754701416,4.663876600775191,Thermal black/Nylon 6T
4.733022675790708,3.74651993369198,Thermal black/Nylon 6T
8.74575781678605,3.598267012951917,Thermal black/Nylon 6T
10.725930992805075,3.560565323923577,Thermal black/Nylon 6T
12.213894153818739,3.547351434246348,Thermal black/Nylon 6T
13.122996670078383,3.539685805811608,Thermal black/Nylon 6T
0.13658159754701416,-1.3840002361776071,Fe3O4/Nylon 6T
4.733022675790708,-0.9511815197747109,Fe3O4/Nylon 6T
8.74575781678605,-1.8652983879541507,Fe3O4/Nylon 6T
10.725930992805075,0.373336203111859,Fe3O4/Nylon 6T
12.213894153818739,-0.7355691843751799,Fe3O4/Nylon 6T
13.122996670078383,10.203344326337772,Fe3O4/Nylon 6T
