UV Exposure Time (h),Kinematic Viscosity (mm²/s)
7,10.916989870162359,barium strontium titanate/TGPAP
8,14.42161788600966,barium strontium titanate/TGPAP
12,-3.1885857148336214,barium strontium titanate/TGPAP
17,192.4770892959689,barium strontium titanate/TGPAP
7,14.391928203968988,graphite nanoplates/TGPAP
8,3.1687157771554055,graphite nanoplates/TGPAP
12,29.051100168912107,graphite nanoplates/TGPAP
17,199.3693962122569,graphite nanoplates/TGPAP
7,4.194818770198766,Multi-wall carbon nanotubes/TGPAP
8,5.087484471297721,Multi-wall carbon nanotubes/TGPAP
12,5.553970975772007,Multi-wall carbon nanotubes/TGPAP
17,18.531185775643856,Multi-wall carbon nanotubes/TGPAP
7,-4.748350270126127,C.I. Pigment Black 6/TGPAP
8,-4.764715223634807,C.I. Pigment Black 6/TGPAP
12,-4.8437514746238035,C.I. Pigment Black 6/TGPAP
17,-4.865896326109427,C.I. Pigment Black 6/TGPAP
