Particle Size (nm),Specific Viscosity
2.3981589663037584,-5.672897691737001,Poly(bisphenol A carbonate)
14.588151001445162,-6.362744023439749,Poly(bisphenol A carbonate)
15.076062202095846,-6.374415984714574,Poly(bisphenol A carbonate)
16.522647064149204,-6.406077323116578,Poly(bisphenol A carbonate)
2.3981589663037584,3.5816738340129506,Poly(2-vinyl pyridine)
14.588151001445162,3.219432088868821,Poly(2-vinyl pyridine)
15.076062202095846,3.2136465520182003,Poly(2-vinyl pyridine)
16.522647064149204,3.1830501079625795,Poly(2-vinyl pyridine)
2.3981589663037584,4.105647432577158,Nylon 6
14.588151001445162,3.5134239619087233,Nylon 6
15.076062202095846,3.511144083057749,Nylon 6
16.522647064149204,3.507687798528384,Nylon 6
2.3981589663037584,7.618994922502095,IMPP
14.588151001445162,7.297123357394353,IMPP
15.076062202095846,7.2978852878856735,IMPP
16.522647064149204,7.253547916037227,IMPP
2.3981589663037584,-7.026776467370405,PVB
14.588151001445162,-7.473187665275286,PVB
15.076062202095846,-7.474977308497077,PVB
16.522647064149204,-7.4786892631542745,PVB
