Stress (Pa),Pore Size (nm)
1,-2.5348311524232594,0.23% CCTO ceramics/DGEBD
4,-1.4441352725358487,0.23% CCTO ceramics/DGEBD
5,-2.1220632643049995,0.23% CCTO ceramics/DGEBD
11,1.8711970505383988,0.23% CCTO ceramics/DGEBD
17,2.7341343642108873,0.23% CCTO ceramics/DGEBD
1,-0.6869617012593101,0.5% CCTO ceramics/DGEBD
4,-0.3097709805471094,0.5% CCTO ceramics/DGEBD
5,-0.29445464646326447,0.5% CCTO ceramics/DGEBD
11,1.4241878440307678,0.5% CCTO ceramics/DGEBD
17,2.535488348709274,0.5% CCTO ceramics/DGEBD
1,0.6712377537316052,0.85% CCTO ceramics/DGEBD
4,0.4611683955839211,0.85% CCTO ceramics/DGEBD
5,0.35514688458336763,0.85% CCTO ceramics/DGEBD
11,0.08663143945518031,0.85% CCTO ceramics/DGEBD
17,-0.06822758590418038,0.85% CCTO ceramics/DGEBD
