Nanoparticle Volume (%),Intrinsic Viscosity (dl/g)
1,2.2498684304481644,Polystyrene
5,1.614418230811967,Polystyrene
8,1.5733501409120088,Polystyrene
12,1.3826286524774856,Polystyrene
15,1.3132735339554698,Polystyrene
1,7.20660299501754,BXZ
5,6.620945136664906,BXZ
8,6.487215081453533,BXZ
12,6.426081808884017,BXZ
15,6.409793045979073,BXZ
1,-0.03089319570325544,Poly(ethylene terephthalate)
5,-0.5098988414949213,Poly(ethylene terephthalate)
8,-0.6580098691861175,Poly(ethylene terephthalate)
12,-0.7306232825108663,Poly(ethylene terephthalate)
15,-0.7471766095441539,Poly(ethylene terephthalate)
