Curing Time (min),Heat Of Crystallization (J/g)
2,6.432987304546263,0.66% Organophilic clay/PVB
5,10.536738367706985,0.66% Organophilic clay/PVB
9,16.995662657627108,0.66% Organophilic clay/PVB
13,96.0528012971173,0.66% Organophilic clay/PVB
16,97.29910888038526,0.66% Organophilic clay/PVB
2,-2.8066188281204045,0.09% Organophilic clay/PVB
5,-2.6879744360914333,0.09% Organophilic clay/PVB
9,-0.8417782734603199,0.09% Organophilic clay/PVB
13,3.8335461171235634,0.09% Organophilic clay/PVB
16,7.093762332904555,0.09% Organophilic clay/PVB
