Dielectric Loss,Poisson’s Ratio
5,-0.4584216697785396,Colloidal silica/poly-HEMA
13,4.304533309129237,Colloidal silica/poly-HEMA
16,1.1300559525869467,Colloidal silica/poly-HEMA
5,1.5217904579300556,graphene nanoplatelets/poly-HEMA
13,1.3364242756042137,graphene nanoplatelets/poly-HEMA
16,1.3227598927010193,graphene nanoplatelets/poly-HEMA
5,8.773891616087454,Graphite Nanoplatelets/poly-HEMA
13,15.73472766406638,Graphite Nanoplatelets/poly-HEMA
16,5.3611996993158915,Graphite Nanoplatelets/poly-HEMA
5,0.38579687461499623,Calcium carbonate/poly-HEMA
13,0.059552558929706956,Calcium carbonate/poly-HEMA
16,-0.0014758302944239687,Calcium carbonate/poly-HEMA
5,2.633212339325909,Bentonite/poly-HEMA
13,100.77097167522443,Bentonite/poly-HEMA
16,257.17087056913476,Bentonite/poly-HEMA
