Melting Temperature (°C),Thermal Stability (°C)
6,-5.775035577377927,0.78% Aluminium dioxide
9,-5.901967496245888,0.78% Aluminium dioxide
12,-6.001511192913019,0.78% Aluminium dioxide
18,-6.140889182729746,0.78% Aluminium dioxide
19,-6.157842344835076,0.78% Aluminium dioxide
4,-4.767968331727484,0.33% Aluminium dioxide
9,-4.980260073648652,0.33% Aluminium dioxide
13,-5.133969162915545,0.33% Aluminium dioxide
14,-5.150372167751418,0.33% Aluminium dioxide
17,-5.220619234813539,0.33% Aluminium dioxide
