Curing Temperature (°C),Permittivity
2,-1.2708373855266137,ZrO2/DGEBF Epoxy Resin
8,-1.4908187735176117,ZrO2/DGEBF Epoxy Resin
16,6.664143241103925,ZrO2/DGEBF Epoxy Resin
19,-8.782118410147529,ZrO2/DGEBF Epoxy Resin
2,-1.3109467184828651,Graphene oxide/DGEBF Epoxy Resin
8,-1.621512182399562,Graphene oxide/DGEBF Epoxy Resin
16,4.922436188155846,Graphene oxide/DGEBF Epoxy Resin
19,4.20503256007205,Graphene oxide/DGEBF Epoxy Resin
2,-0.9643542700374944,Single-wall carbon nanotubes/DGEBF Epoxy Resin
8,-1.5207452065262925,Single-wall carbon nanotubes/DGEBF Epoxy Resin
16,-1.6021282978877884,Single-wall carbon nanotubes/DGEBF Epoxy Resin
19,-1.6068713335296423,Single-wall carbon nanotubes/DGEBF Epoxy Resin
2,-2.834624524789258,9-anthracenemethanol/DGEBF Epoxy Resin
8,-3.109753687872213,9-anthracenemethanol/DGEBF Epoxy Resin
16,-3.4142201785373905,9-anthracenemethanol/DGEBF Epoxy Resin
19,-3.451417684396303,9-anthracenemethanol/DGEBF Epoxy Resin
2,-5.392941975843625,Triphenyl phosphate/DGEBF Epoxy Resin
8,-5.8085184553974525,Triphenyl phosphate/DGEBF Epoxy Resin
16,-6.024825152033978,Triphenyl phosphate/DGEBF Epoxy Resin
19,-6.0671672312073115,Triphenyl phosphate/DGEBF Epoxy Resin
