Electric Field (V/m),Coefficient Of Thermal Expansion (1/K)
5,3.144370074124863,0.95% barium strontium titanate
13,2.1370514110576817,0.95% barium strontium titanate
17,7.689931035628832,0.95% barium strontium titanate
18,-0.0028419781033788283,0.95% barium strontium titanate
5,6.032211539994579,0.65% barium strontium titanate
13,12.731640193755014,0.65% barium strontium titanate
17,8.775291810097926,0.65% barium strontium titanate
18,18.27448822305653,0.65% barium strontium titanate
5,2.362565240438702,0.97% barium strontium titanate
13,7.28159370757464,0.97% barium strontium titanate
17,-1.26483755837884,0.97% barium strontium titanate
18,3.340279357000284,0.97% barium strontium titanate
