Mechanical Strength (MPa),Electric Field Strength (V/m)
1,5.765209447694039,
9,5.0747902341734275,
14,5.020350382908981,
17,5.011067099216238,
18,5.009713329346351,
19,5.008355265080196,
1,1.283390897713877,
9,0.953554850235504,
14,0.8401832253365162,
17,0.7469718772017564,
18,0.733283936200381,
19,0.7234282284652114,
1,3.2532954675095977,
9,2.3824765633428724,
14,2.243823518028055,
17,2.16977265568602,
18,2.1514406754203668,
19,2.1402652127825355,
1,-0.7831143989183823,
9,-1.1703008524025926,
14,-1.3790740584417494,
17,-1.4405339378569166,
18,-1.45188580946252,
19,-1.4692354255773985,
