Strain,Pore Size (nm)
5.374919791850075,1.6455213242802367,graphite nanoplatelets/Poly(methyl methacrylate)
6.567343767702003,1.6225025336608783,graphite nanoplatelets/Poly(methyl methacrylate)
7.414774454316224,1.5366641433881507,graphite nanoplatelets/Poly(methyl methacrylate)
7.842643891769539,1.495398457989322,graphite nanoplatelets/Poly(methyl methacrylate)
8.689694253800615,1.560829937781238,graphite nanoplatelets/Poly(methyl methacrylate)
5.374919791850075,6.119867724254868,alumina/Poly(methyl methacrylate)
6.567343767702003,15.096255565298852,alumina/Poly(methyl methacrylate)
7.414774454316224,5.761325769548338,alumina/Poly(methyl methacrylate)
7.842643891769539,13.237595770524154,alumina/Poly(methyl methacrylate)
8.689694253800615,15.948457713455008,alumina/Poly(methyl methacrylate)
5.374919791850075,6.725344796785512,Aluminium oxide/Poly(methyl methacrylate)
6.567343767702003,6.5232502035917355,Aluminium oxide/Poly(methyl methacrylate)
7.414774454316224,6.629869317301867,Aluminium oxide/Poly(methyl methacrylate)
7.842643891769539,6.681493149341682,Aluminium oxide/Poly(methyl methacrylate)
8.689694253800615,6.486990675268153,Aluminium oxide/Poly(methyl methacrylate)
