Holding Time (min),Adhesion Strength (MPa)
16.164703992413838,-3.1758871886014486,0.28% Fe2O3/PAI
16.756668648268032,-3.1853539963717696,0.28% Fe2O3/PAI
17.19928926385048,-3.1888471562231593,0.28% Fe2O3/PAI
17.685954808783528,-3.1932863813606147,0.28% Fe2O3/PAI
18.11171198567554,-3.199874681350149,0.28% Fe2O3/PAI
16.164703992413838,-6.644094901105889,0.4% Fe2O3/PAI
16.756668648268032,210.69748606271696,0.4% Fe2O3/PAI
17.19928926385048,411.0133023980695,0.4% Fe2O3/PAI
17.685954808783528,170.4974327143548,0.4% Fe2O3/PAI
18.11171198567554,228.14060339807548,0.4% Fe2O3/PAI
