Heat Treatment Time (h),Elongation At Break (%)
6.087553730511224,-5.764507464760484,0.18% White spirits/Poly(ethylene-vinyl acetate)
8.100910550804395,-5.869194541572564,0.18% White spirits/Poly(ethylene-vinyl acetate)
9.098048506613585,-5.873241676336807,0.18% White spirits/Poly(ethylene-vinyl acetate)
13.74928684793943,-5.9336612134089615,0.18% White spirits/Poly(ethylene-vinyl acetate)
17.196233690962114,-5.944535486512957,0.18% White spirits/Poly(ethylene-vinyl acetate)
19.285128788932045,-5.947090724003436,0.18% White spirits/Poly(ethylene-vinyl acetate)
6.087553730511224,-3.8339389872247773,0.7% White spirits/Poly(ethylene-vinyl acetate)
8.100910550804395,-3.9144839803571156,0.7% White spirits/Poly(ethylene-vinyl acetate)
9.098048506613585,-3.937966016711752,0.7% White spirits/Poly(ethylene-vinyl acetate)
13.74928684793943,-3.9897822366866,0.7% White spirits/Poly(ethylene-vinyl acetate)
17.196233690962114,-3.9998520958122437,0.7% White spirits/Poly(ethylene-vinyl acetate)
19.285128788932045,-4.0025927145797295,0.7% White spirits/Poly(ethylene-vinyl acetate)
