Heat Capacity (J/K),Conductivity (S/m)
6,-2.9891762722896145,BXZ
7,-2.9434539188920437,BXZ
9,-3.036886240176674,BXZ
14,-3.253588217523636,BXZ
17,-3.328083815857703,BXZ
19,-3.358055719978314,BXZ
5,5.151355531612694,TGPAP
8,4.701817704172098,TGPAP
9,5.476463052422769,TGPAP
11,3.4273405833352433,TGPAP
14,11.03746303272397,TGPAP
18,9.093191905542756,TGPAP
1.624403570129156,5.620432743859389,PTrFE
3.5012317729676545,5.543389942377762,PTrFE
4.517853045378475,6.269384616423873,PTrFE
9.10605192785096,9.174863263211892,PTrFE
18.231594882285233,15.818424610231197,PTrFE
19.062519747005318,19.808470678105017,PTrFE
1.0196008154502567,1.6871101878751578,P(BA-a)
1.4164629650226424,1.520386880652301,P(BA-a)
2.696311761140602,3.5130346269926633,P(BA-a)
5.472019356281679,8.351183452455967,P(BA-a)
9.897922319585707,16.27832134508076,P(BA-a)
18.24461566018192,486.04619989092953,P(BA-a)
0.2585961129755332,5.976799230685231,PHFP
2.7604536347765984,5.1911348779121465,PHFP
6.817799529566358,5.015672534714756,PHFP
10.506890261465621,4.945609735534023,PHFP
18.1737337069027,4.908290518352969,PHFP
18.69372206615217,4.907633489435746,PHFP
