Crosslinking Density (mol/m³),Magnetic Susceptibility
0,-4.582224282580433,0.83% Titanate nanotubes/P(BA-a)
7,-5.269437173353303,0.83% Titanate nanotubes/P(BA-a)
10,-5.395865373834133,0.83% Titanate nanotubes/P(BA-a)
11,-5.526818201595225,0.83% Titanate nanotubes/P(BA-a)
14,-5.587321386217577,0.83% Titanate nanotubes/P(BA-a)
16,-5.645730307453128,0.83% Titanate nanotubes/P(BA-a)
0.6939535833018184,7.472632964028797,0.54% Titanate nanotubes/P(BA-a)
4.0789773621644905,9.177896484042726,0.54% Titanate nanotubes/P(BA-a)
7.433432394783832,12.348854219729903,0.54% Titanate nanotubes/P(BA-a)
7.909065569167561,14.447261485668971,0.54% Titanate nanotubes/P(BA-a)
12.522227657115435,54.43225226370778,0.54% Titanate nanotubes/P(BA-a)
18.373708263887018,194.0852941998558,0.54% Titanate nanotubes/P(BA-a)
