Hardness (HV),Degradation Temperature (°C)
1.9699947551820651,6.108281245176265,
4.233580901303293,6.208512986925085,
9.353960056953959,5.887192340500995,
19.388366909357323,5.83032313932896,
1.9699947551820651,6.694119352779786,
4.233580901303293,8.399869247981911,
9.353960056953959,20.30456153708494,
19.388366909357323,832.6187965840085,
1.9699947551820651,-2.6307868186925982,
4.233580901303293,-2.8345189515163955,
9.353960056953959,-3.1386194756124297,
19.388366909357323,-3.2029482787820953,
1.9699947551820651,-4.472502680062606,
4.233580901303293,-4.038968183193827,
9.353960056953959,-2.0869355638083333,
19.388366909357323,-1.9720438860668623,
