Particle Size (nm),Electric Field Strength (V/m)
1,-3.898241618876826,0.73% cellulose nanocrystals/Poly(vinyl butyral)
7,-4.275117499927383,0.73% cellulose nanocrystals/Poly(vinyl butyral)
9,-4.450950934163209,0.73% cellulose nanocrystals/Poly(vinyl butyral)
10,-4.504059534876467,0.73% cellulose nanocrystals/Poly(vinyl butyral)
11,-4.477484240515709,0.73% cellulose nanocrystals/Poly(vinyl butyral)
16,-4.613191801850231,0.73% cellulose nanocrystals/Poly(vinyl butyral)
19,-4.661376436604123,0.73% cellulose nanocrystals/Poly(vinyl butyral)
1,2.142271163035107,0.69% cellulose nanocrystals/Poly(vinyl butyral)
7,1.436288142012161,0.69% cellulose nanocrystals/Poly(vinyl butyral)
9,1.3680626751181817,0.69% cellulose nanocrystals/Poly(vinyl butyral)
10,1.3483248030511634,0.69% cellulose nanocrystals/Poly(vinyl butyral)
11,1.3377161224277447,0.69% cellulose nanocrystals/Poly(vinyl butyral)
16,1.3109542882599983,0.69% cellulose nanocrystals/Poly(vinyl butyral)
19,1.306240468129163,0.69% cellulose nanocrystals/Poly(vinyl butyral)
1,-1.207832492172911,0.91% cellulose nanocrystals/Poly(vinyl butyral)
7,-1.7818617929778784,0.91% cellulose nanocrystals/Poly(vinyl butyral)
9,-1.8453071732366615,0.91% cellulose nanocrystals/Poly(vinyl butyral)
10,-1.8649948462034003,0.91% cellulose nanocrystals/Poly(vinyl butyral)
11,-1.8710338603895624,0.91% cellulose nanocrystals/Poly(vinyl butyral)
16,-1.9003607972728973,0.91% cellulose nanocrystals/Poly(vinyl butyral)
19,-1.9056422140269318,0.91% cellulose nanocrystals/Poly(vinyl butyral)
1,2.1529751834633957,0.13% cellulose nanocrystals/Poly(vinyl butyral)
7,1.7759566755421425,0.13% cellulose nanocrystals/Poly(vinyl butyral)
9,1.7404812143766972,0.13% cellulose nanocrystals/Poly(vinyl butyral)
10,1.7149666112899382,0.13% cellulose nanocrystals/Poly(vinyl butyral)
11,1.7064381866068514,0.13% cellulose nanocrystals/Poly(vinyl butyral)
16,1.6746382095954915,0.13% cellulose nanocrystals/Poly(vinyl butyral)
19,1.669085650144403,0.13% cellulose nanocrystals/Poly(vinyl butyral)
