X-ray Dose (Gy),Kinematic Viscosity (mm²/s)
2.3426446567378534,-3.4389762994620026,
9.433610552877642,-3.8529521127435618,
10.888007762283545,-3.960001782670188,
12.247038661525742,-3.9780337655196325,
14.45169433265389,-4.058545519176051,
16.91187218119278,-4.096777101227793,
2,-2.6245919956497348,
3,-3.0115444797401025,
15,-3.409538817670631,
16,-3.4388219125454014,
17,-3.4446681237145254,
18,-3.4629775984641293,
7.659697033829667,-0.5932038154618484,
12.074836615766618,-0.6701257324907834,
14.854589800027586,-0.6883861280572904,
17.733287205818648,-0.694948853293832,
18.528111438747008,-0.6960717205749505,
18.531781299443548,-0.6960848055531561,
