Shear Rate (1/s),Flexural Strength (MPa)
2,-0.9075460069496568,0.03% Silver hexafluoroantimonate/PB-1
3,-0.8503606322220816,0.03% Silver hexafluoroantimonate/PB-1
12,1.5275489860580524,0.03% Silver hexafluoroantimonate/PB-1
14,3.858449756069808,0.03% Silver hexafluoroantimonate/PB-1
18,12.185093645192913,0.03% Silver hexafluoroantimonate/PB-1
2,6.8552884057369115,0.52% Silver hexafluoroantimonate/PB-1
3,5.322643633353107,0.52% Silver hexafluoroantimonate/PB-1
12,43.37206396508529,0.52% Silver hexafluoroantimonate/PB-1
14,102.55899522843995,0.52% Silver hexafluoroantimonate/PB-1
18,441.5659868904375,0.52% Silver hexafluoroantimonate/PB-1
2,0.8869373538559359,0.96% Silver hexafluoroantimonate/PB-1
3,0.7182409257427199,0.96% Silver hexafluoroantimonate/PB-1
12,0.4787263622498526,0.96% Silver hexafluoroantimonate/PB-1
14,0.44669396915371307,0.96% Silver hexafluoroantimonate/PB-1
18,0.34521470540458377,0.96% Silver hexafluoroantimonate/PB-1
2,8.27396038047623,0.21% Silver hexafluoroantimonate/PB-1
3,9.294468180379958,0.21% Silver hexafluoroantimonate/PB-1
12,-4.588601283440308,0.21% Silver hexafluoroantimonate/PB-1
14,-3.9199192968743226,0.21% Silver hexafluoroantimonate/PB-1
18,317.3732203754593,0.21% Silver hexafluoroantimonate/PB-1
2,6.0342986769008995,0.33% Silver hexafluoroantimonate/PB-1
3,7.26556216715397,0.33% Silver hexafluoroantimonate/PB-1
12,37.707405876826556,0.33% Silver hexafluoroantimonate/PB-1
14,-102.19055023623201,0.33% Silver hexafluoroantimonate/PB-1
18,445.8156196278333,0.33% Silver hexafluoroantimonate/PB-1
