Shear Rate (1/s),Thermal Stability (°C)
8.535206180756854,6.844785224751511,0.15% Aluminium
11.312705717231369,6.759620551250628,0.15% Aluminium
13.945378675575588,6.666460489542898,0.15% Aluminium
8.535206180756854,-2.465608523353668,0.38% Aluminium
11.312705717231369,-5.883416685376208,0.38% Aluminium
13.945378675575588,-3.2380572217835213,0.38% Aluminium
8.535206180756854,15.868072566898011,0.52% Aluminium
11.312705717231369,16.256783235292033,0.52% Aluminium
13.945378675575588,133.8127473731886,0.52% Aluminium
8.535206180756854,2.4210229188522723,0.85% Aluminium
11.312705717231369,2.381596622886172,0.85% Aluminium
13.945378675575588,2.36283454166554,0.85% Aluminium
8.535206180756854,8.081531750314626,0.28% Aluminium
11.312705717231369,7.9967023391827015,0.28% Aluminium
13.945378675575588,7.897561110591614,0.28% Aluminium
