Reaction Temperature (°C),X-ray Diffraction Intensity
4,-5.691352275890823,sPP
11,-5.99800237630559,sPP
15,-6.024047673756407,sPP
16,-6.026910678474425,sPP
4,6.826976054445067,Poly(methyl acrylate)
11,6.493205769490734,Poly(methyl acrylate)
15,6.382727568446264,Poly(methyl acrylate)
16,6.34213969981522,Poly(methyl acrylate)
4,-3.2218346603664543,Poly(ethylene terephthalate)
11,4.317687199714918,Poly(ethylene terephthalate)
15,22.4243902758294,Poly(ethylene terephthalate)
16,31.671238404866454,Poly(ethylene terephthalate)
4,-6.06968797700611,VER
11,-6.079173764896208,VER
15,-6.031687798130437,VER
16,-0.933637097278952,VER
4,-1.6364656040597731,PVA
11,-2.891304913147238,PVA
15,-2.760948720411662,PVA
16,-2.0649080525806793,PVA
