Dielectric Constant,Galvanic Potential (V)
4,7.315933588005958,0.74% TiNTs/Poly(2-vinyl pyridine)
7,7.237986194414943,0.74% TiNTs/Poly(2-vinyl pyridine)
11,7.131811958332551,0.74% TiNTs/Poly(2-vinyl pyridine)
12,7.1195578140252165,0.74% TiNTs/Poly(2-vinyl pyridine)
14,7.10797379264055,0.74% TiNTs/Poly(2-vinyl pyridine)
19,7.096448982696557,0.74% TiNTs/Poly(2-vinyl pyridine)
4,3.128564015895824,0.95% TiNTs/Poly(2-vinyl pyridine)
7,2.9039876096052817,0.95% TiNTs/Poly(2-vinyl pyridine)
11,2.7563785311577202,0.95% TiNTs/Poly(2-vinyl pyridine)
12,2.7035519051542742,0.95% TiNTs/Poly(2-vinyl pyridine)
14,2.6641560992353304,0.95% TiNTs/Poly(2-vinyl pyridine)
19,2.5816830528418104,0.95% TiNTs/Poly(2-vinyl pyridine)
4,2.115768525747503,0.34% TiNTs/Poly(2-vinyl pyridine)
7,2.045921955233378,0.34% TiNTs/Poly(2-vinyl pyridine)
11,1.9324338614963883,0.34% TiNTs/Poly(2-vinyl pyridine)
12,1.9219671436122499,0.34% TiNTs/Poly(2-vinyl pyridine)
14,1.9101130698200977,0.34% TiNTs/Poly(2-vinyl pyridine)
19,1.8989890860185161,0.34% TiNTs/Poly(2-vinyl pyridine)
4,3.817193089071531,0.96% TiNTs/Poly(2-vinyl pyridine)
7,3.575687993272185,0.96% TiNTs/Poly(2-vinyl pyridine)
11,3.4322048000943113,0.96% TiNTs/Poly(2-vinyl pyridine)
12,3.387051756525411,0.96% TiNTs/Poly(2-vinyl pyridine)
14,3.316336831226456,0.96% TiNTs/Poly(2-vinyl pyridine)
19,3.221219002788201,0.96% TiNTs/Poly(2-vinyl pyridine)
4,-0.5255790982520372,0.62% TiNTs/Poly(2-vinyl pyridine)
7,-0.6472084879518183,0.62% TiNTs/Poly(2-vinyl pyridine)
11,-0.8642510630425659,0.62% TiNTs/Poly(2-vinyl pyridine)
12,-0.8547520196648142,0.62% TiNTs/Poly(2-vinyl pyridine)
14,-0.9315416249244113,0.62% TiNTs/Poly(2-vinyl pyridine)
19,-1.0340573303041345,0.62% TiNTs/Poly(2-vinyl pyridine)
