Pore Size (nm),Magnetic Anisotropy (J/m³)
2,-2.218447528247241,Nylon 12
3,-2.4764091020887,Nylon 12
4,-2.605908071146475,Nylon 12
18,-3.070688806808073,Nylon 12
4.885410457866966,10.974982131246875,PEEK
7.543223777871686,22.194256264539632,PEEK
11.535524270839073,9.524604083552166,PEEK
18.580072439399284,147.40479252840072,PEEK
1.3266387726154627,-0.2159307338057983,Poly(styrene-co-acrylonitrile)
3.853678420170492,0.38439701519172864,Poly(styrene-co-acrylonitrile)
17.324059224145735,6.218396327155192,Poly(styrene-co-acrylonitrile)
18.635570501784805,7.1983533373699995,Poly(styrene-co-acrylonitrile)
