Solvent Concentration (M),Degradation Temperature (°C)
0,1.6600686869016004,silica gel/PTFCE
8,12.70963961700276,silica gel/PTFCE
14,97.18607491551482,silica gel/PTFCE
0,6.54033022583312,silicon dioxide/PTFCE
8,5.378964681180578,silicon dioxide/PTFCE
14,5.303786087180723,silicon dioxide/PTFCE
0,-2.11440357859769,Clay/PTFCE
8,-3.512326015754291,Clay/PTFCE
14,-3.5928634566960675,Clay/PTFCE
0,-6.548036063178535,"Iron(II,III) oxide/PTFCE"
8,0.8278097756981939,"Iron(II,III) oxide/PTFCE"
14,78.27062423393403,"Iron(II,III) oxide/PTFCE"
0,7.256512160364278,Silica/PTFCE
8,6.269753575889523,Silica/PTFCE
14,6.1749723148248075,Silica/PTFCE
