Specific Heat Capacity (J/(g·K)),Hardness (HV)
1.6223979018345025,2.5380317699752704,CAB
8.036740381478891,1.9300383524455518,CAB
8.182484120662327,1.9362811606879218,CAB
12.860019964710201,1.8668477930927097,CAB
14.717580959771997,1.8585376428861005,CAB
19.050721459728447,1.849473792226607,CAB
1.6223979018345025,0.030324430071707598,PBAT
8.036740381478891,-0.4895167067698629,PBAT
8.182484120662327,-0.5461526468252895,PBAT
12.860019964710201,-0.6985169501993288,PBAT
14.717580959771997,-0.7434249056197394,PBAT
19.050721459728447,-0.8071743822178274,PBAT
