Loading Concentration (%),Tan Delta
2,-3.637929465797901,PVC
6,-4.074156787201088,PVC
8,-4.135501320494703,PVC
10,-4.189508385642213,PVC
12,-4.203472324071365,PVC
4,-4.367963281253376,PBTP
5,-4.449381124868745,PBTP
9,-4.633514691494252,PBTP
14,-4.764458027033936,PBTP
18,-4.8288985980440975,PBTP
8.203252879505293,21.946064961432796,PETE
8.559659635270895,10.661696452582689,PETE
9.289157279999626,31.697666533165744,PETE
13.65469867433317,40.61910484667832,PETE
19.427354833091798,713.7629623203029,PETE
0,3.427198638955897,PBS
2,3.4500300297129667,PBS
3,3.1979424732147463,PBS
7,3.072181209168684,PBS
17,2.7769500492718855,PBS
5,14.892638819094206,CNBR
6,10.830476574225735,CNBR
8,12.832271978837348,CNBR
12,56.44176375392271,CNBR
13,-7.378762009270252,CNBR
