Nanoparticle Volume (%),X-ray Diffraction Intensity
0,4.2874190360338424,PEEK
2,4.530396772859057,PEEK
11,12.441807250868742,PEEK
16,269.7527299217824,PEEK
19,-37.83569679799547,PEEK
0,-6.4803328426553115,PBAT
2,-5.57719505226527,PBAT
11,-9.980861665051478,PBAT
16,-30.93104046552049,PBAT
19,269.7173043176553,PBAT
0,4.519623571659594,PS
2,3.9079942296702987,PS
11,3.7031073823753724,PS
16,3.55541789206888,PS
19,3.4987375671889396,PS
0,-2.6762631603283675,Poly(vinylidene fluoride)
2,-1.9665897631972569,Poly(vinylidene fluoride)
11,20.576321119344414,Poly(vinylidene fluoride)
16,-1.2563874454837727,Poly(vinylidene fluoride)
19,22.73002120102249,Poly(vinylidene fluoride)
0,0.32440485589625057,PVAC
2,0.5413238340364752,PVAC
11,20.908320149908015,PVAC
16,141.3121887082059,PVAC
19,100.1600989157123,PVAC
