Dispersing Time (min),Loss Factor
3,9.81369883681932,0.46% Poly(vinyl alcohol)
14,27.891541563912163,0.46% Poly(vinyl alcohol)
15,132.40048191187907,0.46% Poly(vinyl alcohol)
16,-9.045349709501947,0.46% Poly(vinyl alcohol)
17,350.1715014001919,0.46% Poly(vinyl alcohol)
3,3.005376493576841,0.04% Poly(vinyl alcohol)
14,2.4673699935183864,0.04% Poly(vinyl alcohol)
15,2.4662913292029067,0.04% Poly(vinyl alcohol)
16,2.4265324574001164,0.04% Poly(vinyl alcohol)
17,2.4113855837193947,0.04% Poly(vinyl alcohol)
3,8.827950891204967,0.93% Poly(vinyl alcohol)
14,-28.08849083299238,0.93% Poly(vinyl alcohol)
15,102.31571605722192,0.93% Poly(vinyl alcohol)
16,80.76571482372636,0.93% Poly(vinyl alcohol)
17,113.07418382194172,0.93% Poly(vinyl alcohol)
3,-5.077712661874516,0.19% Poly(vinyl alcohol)
14,8.87375928893506,0.19% Poly(vinyl alcohol)
15,-68.25602074197805,0.19% Poly(vinyl alcohol)
16,-76.0255664680565,0.19% Poly(vinyl alcohol)
17,-121.61990735851079,0.19% Poly(vinyl alcohol)
