Incubation Time (h),Coercivity (A/m)
1.8290858418097056,1.855509939013778,
9.925858583418723,1.3207505947039435,
19.31242433251539,1.2815716322299728,
1.8290858418097056,8.401707058736703,
9.925858583418723,27.500141949054807,
19.31242433251539,-373.3030697779824,
1.8290858418097056,-2.722491381062625,
9.925858583418723,-3.0488241252986006,
19.31242433251539,-3.264443392359896,
1.8290858418097056,-2.1143611301015666,
9.925858583418723,-2.0062154556241403,
19.31242433251539,1.3814967583831983,
1.8290858418097056,2.6840095549007428,
9.925858583418723,2.047504987608078,
19.31242433251539,1.8599631241725523,
