Shear Rate (1/s),X-ray Diffraction Intensity
9,-0.3721623659852673,0.31% Titanium dioxide
10,-1.1196817166510327,0.31% Titanium dioxide
11,5.038618589522926,0.31% Titanium dioxide
18,8.73895648249802,0.31% Titanium dioxide
19,13.80738400620316,0.31% Titanium dioxide
9,6.792376388795963,0.1% Titanium dioxide
10,6.757349553873143,0.1% Titanium dioxide
11,6.73794908259864,0.1% Titanium dioxide
18,6.581846731216338,0.1% Titanium dioxide
19,6.570523742270446,0.1% Titanium dioxide
9,-0.42226379751480525,0.69% Titanium dioxide
10,-0.4433267704944588,0.69% Titanium dioxide
11,-0.45527417707764395,0.69% Titanium dioxide
18,-0.4900318417554286,0.69% Titanium dioxide
19,-0.4912790282624973,0.69% Titanium dioxide
