Reaction Time (h),Intrinsic Viscosity (dl/g)
3,9.984922934184677,0.88% titania
6,13.130620837577657,0.88% titania
7,14.549473007555587,0.88% titania
10,31.1567727341116,0.88% titania
11,11.221838823357524,0.88% titania
15,89.27557024249997,0.88% titania
3,-5.513265267234328,0.08% titania
6,-5.7189398057703205,0.08% titania
7,-5.787839409179598,0.08% titania
10,-5.923813035275838,0.08% titania
11,-5.964047575499341,0.08% titania
15,-6.0454323850603995,0.08% titania
3,6.054958086737711,0.86% titania
6,5.891880815953646,0.86% titania
7,5.765957230752145,0.86% titania
10,5.68469834853963,0.86% titania
11,5.6265014030634175,0.86% titania
15,5.502958936647715,0.86% titania
