Volume Fraction,Charge Transfer Resistance (Ω·m²)
5,10.509014698929128,Silver hexafluoroantimonate/Nylon 6
6,13.796953163237482,Silver hexafluoroantimonate/Nylon 6
10,1.4966038469508511,Silver hexafluoroantimonate/Nylon 6
11,9.841595524230538,Silver hexafluoroantimonate/Nylon 6
17,87.71325791365649,Silver hexafluoroantimonate/Nylon 6
5,-3.4279951773259403,Silver nitrate/Nylon 6
6,-3.5437715689775535,Silver nitrate/Nylon 6
10,-3.705734899254037,Silver nitrate/Nylon 6
11,-3.7154402121597627,Silver nitrate/Nylon 6
17,-3.8591150971728787,Silver nitrate/Nylon 6
5,-2.105190920114489,Zirconium dioxide/Nylon 6
6,1.423415516434428,Zirconium dioxide/Nylon 6
10,-0.15087056637352347,Zirconium dioxide/Nylon 6
11,37.87697547284512,Zirconium dioxide/Nylon 6
17,29.682158303139044,Zirconium dioxide/Nylon 6
