Elongation At Break (%),Flexural Strength (MPa)
1.8263221686760978,-4.821695553265126,CaCu3Ti4O12/SBR
2.8767182455672313,-4.638669348434309,CaCu3Ti4O12/SBR
10.506050130885047,-5.039528876536191,CaCu3Ti4O12/SBR
12.799083972970074,-5.0848124103623835,CaCu3Ti4O12/SBR
1.8263221686760978,8.683468229328899,Polyaniline/SBR
2.8767182455672313,8.768288666182007,Polyaniline/SBR
10.506050130885047,8.335735936693462,Polyaniline/SBR
12.799083972970074,8.253214600802151,Polyaniline/SBR
1.8263221686760978,4.539634047851875,FeO/SBR
2.8767182455672313,4.238522356938597,FeO/SBR
10.506050130885047,3.8869828780693685,FeO/SBR
12.799083972970074,3.7609980409813613,FeO/SBR
1.8263221686760978,9.173035339168859,Paraffinum liquidum/SBR
2.8767182455672313,10.106530204751133,Paraffinum liquidum/SBR
10.506050130885047,44.50079596482117,Paraffinum liquidum/SBR
12.799083972970074,65.30898378954635,Paraffinum liquidum/SBR
