Hardness (HV),Heat Capacity (J/K)
1,5.8516791687637335,single-walled CNTs/PBS
6,5.584160103834709,single-walled CNTs/PBS
8,5.383401666710279,single-walled CNTs/PBS
17,5.141307819724767,single-walled CNTs/PBS
18,5.135853284230695,single-walled CNTs/PBS
1.7107869710378698,5.364977711704197,C.I. Pigment Black 6/PBS
12.487452874754137,5.077709486450974,C.I. Pigment Black 6/PBS
12.673759686991922,5.081694589671226,C.I. Pigment Black 6/PBS
14.290887472218621,5.026580868007987,C.I. Pigment Black 6/PBS
17.19678420557195,4.960656491958574,C.I. Pigment Black 6/PBS
1.8734028721225426,-1.3424582919548689,Copper phenylphosphate/PBS
2.231696379516548,-1.6189140294345408,Copper phenylphosphate/PBS
2.7075278352289,-1.4324724309751455,Copper phenylphosphate/PBS
6.6761836522258715,-1.6990332479709835,Copper phenylphosphate/PBS
8.502913978283066,-1.753116904104456,Copper phenylphosphate/PBS
