Decomposition Temperature (°C),X-ray Diffraction Intensity
3.6949834227471956,-6.04325394599315,Bentonite clay/PBAT
4.097627173348528,-5.749422146415509,Bentonite clay/PBAT
10.303346459670156,-2.4032365200921744,Bentonite clay/PBAT
12.649871391768936,-6.155867112096434,Bentonite clay/PBAT
12.731256385546645,-5.510095136722903,Bentonite clay/PBAT
16.114513299023617,-6.779951189256579,Bentonite clay/PBAT
3.6949834227471956,-0.09401436309228828,Barium titanate/PBAT
4.097627173348528,-0.26673965167879565,Barium titanate/PBAT
10.303346459670156,2.2302665387586367,Barium titanate/PBAT
12.649871391768936,0.9018365932040489,Barium titanate/PBAT
12.731256385546645,0.701670103116637,Barium titanate/PBAT
16.114513299023617,-8.558310301765463,Barium titanate/PBAT
