Dielectric Loss,Tan Delta
8,2.9753073070300697,graphene nanoplatelets/PUR
16,-1.716815401695687,graphene nanoplatelets/PUR
18,-0.37064566194060333,graphene nanoplatelets/PUR
19,2.0794085175996724,graphene nanoplatelets/PUR
8,3.970618916371214,silica/PUR
16,3.8898869520154253,silica/PUR
18,3.885822331870129,silica/PUR
19,3.885053692698284,silica/PUR
8,0.09089016826816865,Titanate nanotubes/PUR
16,-5.788760623481432,Titanate nanotubes/PUR
18,9.720363256593828,Titanate nanotubes/PUR
19,3.939509008337761,Titanate nanotubes/PUR
8,4.822499905163128,Magnesium oxide/PUR
16,4.6782073638095465,Magnesium oxide/PUR
18,4.635256396139593,Magnesium oxide/PUR
19,4.627915148639834,Magnesium oxide/PUR
