Heat Treatment Time (h),Thermal Conductivity (W/(m·K))
12,8.940184966177338,0.8% PVA/PBTP
13,12.263566848032058,0.8% PVA/PBTP
15,5.452874477442964,0.8% PVA/PBTP
12,-6.593831437601284,0.54% PVA/PBTP
13,-6.592854341646786,0.54% PVA/PBTP
15,-6.676606425869023,0.54% PVA/PBTP
12,-1.658061100027334,0.21% PVA/PBTP
13,-1.6651413099248278,0.21% PVA/PBTP
15,-1.6749612391890716,0.21% PVA/PBTP
12,33.13440037547831,0.89% PVA/PBTP
13,37.712606473987094,0.89% PVA/PBTP
15,35.9252265845449,0.89% PVA/PBTP
