Stirring Speed (rpm),Thermal Stability (°C)
2,9.66097388288878,PP
6,14.762049188499166,PP
8,11.884302609809012,PP
13,70.355816645002,PP
14,79.6806589250297,PP
2,-2.41866428805099,E-SBR
6,-0.12995826788738896,E-SBR
8,16.040672275619286,E-SBR
13,64.01021783262594,E-SBR
14,108.92151825029613,E-SBR
2,0.4250666314786571,PA 66
6,3.727032760636929,PA 66
8,12.532023313447667,PA 66
13,50.85267124324319,PA 66
14,80.82055729785895,PA 66
2,-4.996551093456277,Polyurethane
6,-5.58141083147726,Polyurethane
8,-5.673539003009633,Polyurethane
13,-5.738341883505192,Polyurethane
14,-5.7435534223263565,Polyurethane
2,-0.9215163796249108,Fluoroelastomer
6,-0.840013057417039,Fluoroelastomer
8,-0.17952271955883337,Fluoroelastomer
13,-2.811551813645732,Fluoroelastomer
14,-1.609586499834173,Fluoroelastomer
