Evaporation Temperature (°C),Complex Viscosity (Pa·s)
1.2045741378092023,4.767287671118297,0.37% HAF
4.760005504808085,6.329928366582146,0.37% HAF
8.860516862896404,7.325970463227485,0.37% HAF
11.109467638948923,25.07325379116358,0.37% HAF
13.53192288900821,165.78857053820886,0.37% HAF
6.955608506371965,7.218256497081618,0.16% HAF
7.083886743774044,7.549398088633818,0.16% HAF
11.508467824840348,7.312398657563064,0.16% HAF
12.714509300730136,11.099934684560138,0.16% HAF
17.289965456854276,9.589251199394079,0.16% HAF
