Heat Treatment Temperature (°C),Thermal Stability (°C)
4.583546629322798,-6.988091718678591,
5.619588560663953,-7.073125231798268,
12.49481512404783,-7.218806260323503,
12.7560190972246,-7.222174291845208,
4.583546629322798,-5.35599325544758,
5.619588560663953,-5.35057022018921,
12.49481512404783,-5.695266480491096,
12.7560190972246,-5.712392227148289,
4.583546629322798,5.504014650818833,
5.619588560663953,9.664121181314394,
12.49481512404783,-5.6175885742491545,
12.7560190972246,13.123619295884225,
4.583546629322798,-3.719702300526192,
5.619588560663953,-3.612307082206576,
12.49481512404783,82.60693161841019,
12.7560190972246,30.841051757993363,
4.583546629322798,-1.3909822153346436,
5.619588560663953,-1.4826441690089291,
12.49481512404783,-1.6313121006248215,
12.7560190972246,-1.6354381053529143,
