Young’s Modulus (GPa),Decomposition Temperature (°C)
2.7065032377509413,-3.3794815680381434,PA63T
15.520771856210168,28.544177189926522,PA63T
17.510861532237826,-95.58832768667199,PA63T
18.14535840696628,358.9172917061092,PA63T
2.7065032377509413,3.241016975850228,TPU
15.520771856210168,-24.479292174187545,TPU
17.510861532237826,275.98882880883934,TPU
18.14535840696628,-142.56911899025252,TPU
2.7065032377509413,4.509094046735202,SAN
15.520771856210168,3.924819573209867,SAN
17.510861532237826,3.871120393727032,SAN
18.14535840696628,3.869935991079183,SAN
2.7065032377509413,9.072938897674707,PBTP
15.520771856210168,111.47282805360155,PBTP
17.510861532237826,355.03968183167063,PBTP
18.14535840696628,647.6587336092623,PBTP
2.7065032377509413,4.67149912252003,PAA
15.520771856210168,187.87298538738654,PAA
17.510861532237826,312.35567775493263,PAA
18.14535840696628,192.41328020494075,PAA
