Loading Concentration (%),Heat Capacity (J/K)
0,0.38760664853027105,graphite (as received)/PPSU
5,1.5519666210113137,graphite (as received)/PPSU
13,2.9627781531139616,graphite (as received)/PPSU
0,-7.104426533898303,Au/PPSU
5,-7.781273876545604,Au/PPSU
13,-7.951858211215344,Au/PPSU
0,-3.6467173765005585,polyaniline/PPSU
5,-2.374805718734331,polyaniline/PPSU
13,2.1304305851534,polyaniline/PPSU
0,1.0136194550747688,Synthetic fluorine mica/PPSU
5,2.407686193531279,Synthetic fluorine mica/PPSU
13,3.6694594692684546,Synthetic fluorine mica/PPSU
