Young’s Modulus (GPa),Bulk Modulus (GPa)
8,12.526585306164002,0.76% Aluminium oxide/S-SEBS
10,11.159041708303208,0.76% Aluminium oxide/S-SEBS
12,57.958329168187475,0.76% Aluminium oxide/S-SEBS
13,96.35763276069697,0.76% Aluminium oxide/S-SEBS
15,148.14403267972224,0.76% Aluminium oxide/S-SEBS
8,6.927685479346144,0.14% Aluminium oxide/S-SEBS
10,6.8858569336136295,0.14% Aluminium oxide/S-SEBS
12,6.861154513744091,0.14% Aluminium oxide/S-SEBS
13,6.852425254574412,0.14% Aluminium oxide/S-SEBS
15,6.844829014784565,0.14% Aluminium oxide/S-SEBS
