Solvent Concentration (M),Thermal Expansion (1/K)
8.22190021460334,-6.814151552853682,
11.984612327612052,-6.865667867645938,
12.720670854823634,-6.868081797229427,
15.994807873431318,-6.88253813952247,
19.03849382542333,-6.887678424402806,
1,6.925466171462667,
4,6.655345131143921,
5,6.583601239377756,
7,6.469224801288138,
9,6.418265231823284,
3.8318159977088384,8.242633157294476,
9.063428776088784,8.003066236740668,
9.432874185350501,7.992016354383073,
10.62207747821505,8.005881129898178,
11.188514549653775,7.949502160522866,
1.8877277345259058,0.7042064675014361,
5.607013383232817,2.215639597974934,
9.605675383114358,24.672548167430996,
11.387759589639908,6.921107009454454,
12.243635528334092,44.942689040835496,
0.7311824149678015,8.192838508230059,
10.8147716642226,7.429101739600313,
15.981602836844749,7.400049985531078,
16.189319003591734,7.399174533181994,
19.458186345831056,7.394440260475138,
