Surfactant Concentration (M),Specific Heat (J/(g·K))
3,-3.5611235067741926,PEMA
5,-2.8396856046286536,PEMA
6,-3.799823975272089,PEMA
10,-3.900570907480849,PEMA
13,-2.306079940565688,PEMA
3,4.6324803731598685,PA 6T
5,4.412573337341653,PA 6T
6,4.391252133403397,PA 6T
10,4.232215044961486,PA 6T
13,4.199240188275838,PA 6T
3,-4.0268747411200145,sPP
5,-3.7049400007993953,sPP
6,-3.2699970889923087,sPP
10,-5.958000981744122,sPP
13,0.42888851755623314,sPP
3,-5.618983391811684,PEA
5,-5.815489154511258,PEA
6,-5.985390246912049,PEA
10,-6.043809253695291,PEA
13,-6.186226884856238,PEA
3,-2.474291781860034,BPA-Ph
5,1.913842035524084,BPA-Ph
6,-3.2571634456678593,BPA-Ph
10,27.253297006237375,BPA-Ph
13,48.62706092786332,BPA-Ph
