Rotational Speed (rpm),Pore Size (nm)
0.3875286954542734,-6.501833540815137,0.57% polyaniline/Poly(caprolactone)
5.328486337537727,-7.442926982811163,0.57% polyaniline/Poly(caprolactone)
8.490678816364364,-7.567486627194028,0.57% polyaniline/Poly(caprolactone)
17.599299012781024,-7.639791722047696,0.57% polyaniline/Poly(caprolactone)
18.887233614587466,-7.641314517926992,0.57% polyaniline/Poly(caprolactone)
0.3875286954542734,-3.5518149659067877,0.34% polyaniline/Poly(caprolactone)
5.328486337537727,-3.9638063306738425,0.34% polyaniline/Poly(caprolactone)
8.490678816364364,-4.137118666979953,0.34% polyaniline/Poly(caprolactone)
17.599299012781024,-4.36559941185665,0.34% polyaniline/Poly(caprolactone)
18.887233614587466,-4.380364342947973,0.34% polyaniline/Poly(caprolactone)
0.3875286954542734,-3.684663184727647,0.17% polyaniline/Poly(caprolactone)
5.328486337537727,2.7495531937968316,0.17% polyaniline/Poly(caprolactone)
8.490678816364364,8.615832357388756,0.17% polyaniline/Poly(caprolactone)
17.599299012781024,341.0961833592827,0.17% polyaniline/Poly(caprolactone)
18.887233614587466,450.7836118489636,0.17% polyaniline/Poly(caprolactone)
0.3875286954542734,4.1232650153725805,0.07% polyaniline/Poly(caprolactone)
5.328486337537727,7.627227073160376,0.07% polyaniline/Poly(caprolactone)
8.490678816364364,8.65245459774022,0.07% polyaniline/Poly(caprolactone)
17.599299012781024,403.05051946223233,0.07% polyaniline/Poly(caprolactone)
18.887233614587466,-75.07654133479282,0.07% polyaniline/Poly(caprolactone)
0.3875286954542734,-1.1060729526459103,0.51% polyaniline/Poly(caprolactone)
5.328486337537727,1.2907150724438097,0.51% polyaniline/Poly(caprolactone)
8.490678816364364,5.855131112177993,0.51% polyaniline/Poly(caprolactone)
17.599299012781024,130.18564836583192,0.51% polyaniline/Poly(caprolactone)
18.887233614587466,-169.53660219505275,0.51% polyaniline/Poly(caprolactone)
