Reaction Temperature (°C),Passivation Current Density (A/m²)
2.066150345730955,-0.5791174382748934,carbon black/Polyimide
6.408536510209388,0.5748206558031854,carbon black/Polyimide
11.9392779258614,2.0978469018550316,carbon black/Polyimide
13.3617897254383,5.1801546306749024,carbon black/Polyimide
15.880043213107115,0.30251774341719395,carbon black/Polyimide
17.65617596734926,5.545656262265945,carbon black/Polyimide
2.066150345730955,-4.409323518272243,graphene/Polyimide
6.408536510209388,2.1348134792144773,graphene/Polyimide
11.9392779258614,68.36008242924898,graphene/Polyimide
13.3617897254383,33.62857670473209,graphene/Polyimide
15.880043213107115,-46.66883841148321,graphene/Polyimide
17.65617596734926,-38.34288035686923,graphene/Polyimide
2.066150345730955,3.575406376481671,graphite nanoplatelets/Polyimide
6.408536510209388,4.579357860923121,graphite nanoplatelets/Polyimide
11.9392779258614,4.37709658586605,graphite nanoplatelets/Polyimide
13.3617897254383,4.214708169342541,graphite nanoplatelets/Polyimide
15.880043213107115,12.16834107816724,graphite nanoplatelets/Polyimide
17.65617596734926,7.159611317259689,graphite nanoplatelets/Polyimide
