Specific Heat Capacity (J/(g·K)),Young’s Modulus (GPa)
2.78107540988074,8.17723890541249,0.21% barium titanate
12.404566878075883,7.596011148120054,0.21% barium titanate
15.903743558283779,7.4946422448445045,0.21% barium titanate
2.1572913924826675,3.6873066649242263,0.32% barium titanate
16.39114207942478,263.02626024146963,0.32% barium titanate
17.217765574522033,-29.620550488762458,0.32% barium titanate
1.023712850811087,-2.8506126548819024,0.47% barium titanate
3.627673844065018,-2.9884447659448057,0.47% barium titanate
8.392200344876322,-3.294921864208196,0.47% barium titanate
5.8596089038253485,-1.2936236923640783,0.91% barium titanate
13.773151417810656,-1.4328991855808317,0.91% barium titanate
16.507387296300344,-1.4416270207161812,0.91% barium titanate
7.144688584056061,6.326593174605308,0.98% barium titanate
7.7234220405578995,6.3229680739830165,0.98% barium titanate
14.767273483170031,6.1142232800622995,0.98% barium titanate
