Young’s Modulus (GPa),Saturation Magnetization (A/m)
0,8.539524740839733,
2,8.21550898447004,
6,7.7193158944806095,
11,7.642193467707631,
15,7.6121631055555135,
0,9.013136813571537,
2,9.437783352454394,
6,8.784882143680441,
11,11.072551988244411,
15,12.93168837205386,
0,4.967184775277676,
2,4.713551850255264,
6,4.216700600074725,
11,4.086964880573987,
15,4.06190733422042,
0,5.20020912743167,
2,5.2761122792008575,
6,4.798507664780907,
11,4.592364756082297,
15,4.506560702863066,
