Ultrasound Power (W),Dielectric Loss
5.897389816471574,-6.158887951296185,0.44% Aluminium
7.659472363866513,-5.417969611107818,0.44% Aluminium
12.13328971933851,-3.1265596912279316,0.44% Aluminium
14.669888472844379,-0.6445382034512814,0.44% Aluminium
0.4852091247394008,-6.6261298568261076,0.53% Aluminium
12.475367815175641,-7.423062538417461,0.53% Aluminium
17.900998114537874,-7.552070323010767,0.53% Aluminium
18.51288458211102,-7.542359192855893,0.53% Aluminium
0.549756800229011,-6.616453344186729,0.47% Aluminium
2.465027289554216,-5.6620658991174695,0.47% Aluminium
12.835762914529592,125.86093571633293,0.47% Aluminium
16.860204176569287,283.0194804747536,0.47% Aluminium
