Heat Treatment Time (h),Particle Size Distribution
7.392675308665759,-4.044659994072936,
9.537116219458142,-2.5946998408755264,
10.652905533824734,-1.7965981661966715,
11.231684697145102,-1.2068122019702554,
15.774274690042464,-2.9885030341095646,
19.102286701792973,-8.119243957057272,
1.7121009506767892,-3.3679774572200225,
1.716866980456988,-4.115859240207829,
2.5041069362977675,-4.0336057558508,
4.61254366166717,-0.3925370591396682,
13.255900828437824,77.84374397203604,
15.588344437826418,-5.302411549573154,
5.412014652956931,6.191406479062941,
5.743698742395738,6.538578817036704,
8.52876103349151,6.035287650778642,
12.006169558793683,3.266041985234637,
13.722215155534915,12.455020914955513,
17.52093559504406,9.96996039951249,
