Loading Concentration (%),Toughness (MJ/m³)
0.13419788096961538,-2.1428018386960357,Na2TiO3/PTFE
0.921019366985607,-1.686948009994107,Na2TiO3/PTFE
7.351525537333199,-4.655467131198183,Na2TiO3/PTFE
16.09147493488867,16.046923501786196,Na2TiO3/PTFE
0.13419788096961538,-3.1076998788489125,TPP/PTFE
0.921019366985607,-3.334249948648889,TPP/PTFE
7.351525537333199,-3.6276161426212514,TPP/PTFE
16.09147493488867,-3.8622807828314527,TPP/PTFE
0.13419788096961538,3.2093454890107633,CaCu3Ti4O12/PTFE
0.921019366985607,2.5500910912815975,CaCu3Ti4O12/PTFE
7.351525537333199,5.4286005957122025,CaCu3Ti4O12/PTFE
16.09147493488867,8.532740031705728,CaCu3Ti4O12/PTFE
0.13419788096961538,-6.419981516282741,single-walled CNTs/PTFE
0.921019366985607,-6.413126951359343,single-walled CNTs/PTFE
7.351525537333199,-6.236492910811231,single-walled CNTs/PTFE
16.09147493488867,0.3372644352960803,single-walled CNTs/PTFE
0.13419788096961538,4.7791531103163525,graphene/PTFE
0.921019366985607,5.334312246629252,graphene/PTFE
7.351525537333199,19.227298700066143,graphene/PTFE
16.09147493488867,-2.709767990844478,graphene/PTFE
